"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0035296","regulation of tube diameter","21/55","146/18870",6.9219888764212e-31,6.75836374866737e-28,2.95311572820288e-28,"134/135/147/150/183/551/624/1636/1812/1906/1908/3269/3351/3352/3630/3827/4878/4879/6647/7124/7349",21
"BP","GO:0097746","blood vessel diameter maintenance","21/55","146/18870",6.9219888764212e-31,6.75836374866737e-28,2.95311572820288e-28,"134/135/147/150/183/551/624/1636/1812/1906/1908/3269/3351/3352/3630/3827/4878/4879/6647/7124/7349",21
"BP","GO:0035150","regulation of tube size","21/55","147/18870",8.06166649940441e-31,6.75836374866737e-28,2.95311572820288e-28,"134/135/147/150/183/551/624/1636/1812/1906/1908/3269/3351/3352/3630/3827/4878/4879/6647/7124/7349",21
"BP","GO:0003018","vascular process in circulatory system","22/55","269/18870",8.76912896118317e-27,5.51358983434392e-24,2.40920279880927e-24,"134/135/147/150/183/551/624/1636/1812/1906/1908/3269/3351/3352/3630/3827/4878/4879/5243/6647/7124/7349",22
"BP","GO:0023061","signal release","23/55","484/18870",1.33419415016456e-22,6.71099657532776e-20,2.93241830057222e-20,"134/135/150/183/1268/1392/1813/1906/1908/2641/3351/3458/3552/3553/3569/3630/4129/4988/5443/5972/7124/7349/7432",23
"BP","GO:0008217","regulation of blood pressure","17/55","187/18870",2.01199889253366e-21,8.43362869120361e-19,3.68513481369324e-19,"134/147/183/551/1268/1636/1813/1906/1908/4878/4879/5443/5972/6340/6647/7124/7349",17
"BP","GO:0042311","vasodilation","12/55","47/18870",5.02158924148362e-21,1.8041852774759e-18,7.88351754602843e-19,"134/135/150/624/1812/3630/3827/4878/4879/6647/7124/7349",12
"BP","GO:0046883","regulation of hormone secretion","17/55","251/18870",3.2230095637849e-19,9.60635884649072e-17,4.19756770356233e-17,"134/150/183/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/5443/5972/7124/7349",17
"BP","GO:0046879","hormone secretion","18/55","308/18870",3.43766320550364e-19,9.60635884649072e-17,4.19756770356233e-17,"134/150/183/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/5443/5972/7124/7349/7432",18
"BP","GO:0009914","hormone transport","18/55","319/18870",6.44614966864693e-19,1.6212066416647e-16,7.08397921480778e-17,"134/150/183/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/5443/5972/7124/7349/7432",18
"BP","GO:0042886","amide transport","18/55","354/18870",4.12825298414849e-18,9.43868750466677e-16,4.12430250282394e-16,"134/135/150/551/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/5243/7124/7349/7432",18
"BP","GO:0003073","regulation of systemic arterial blood pressure","12/55","95/18870",4.74661099113698e-17,9.94810553559126e-15,4.34689638135703e-15,"134/147/183/551/1636/1813/1906/1908/4878/4879/5972/7124",12
"BP","GO:0002790","peptide secretion","15/55","246/18870",2.60365422995492e-16,5.03706952948971e-14,2.20098381868254e-14,"134/150/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/7124/7349/7432",15
"BP","GO:0051047","positive regulation of secretion","16/55","310/18870",3.19359368683537e-16,5.73706294456496e-14,2.50685098425272e-14,"134/135/551/1392/1813/1906/1908/2641/3458/3552/3553/3630/4879/5617/7349/7432",16
"BP","GO:0042310","vasoconstriction","11/55","83/18870",6.1345492144744e-16,1.02855941829354e-13,4.49436447713072e-14,"147/150/183/551/624/1636/1906/1908/3269/3351/3352",11
"BP","GO:0015833","peptide transport","15/55","262/18870",6.66612891529927e-16,1.0478321388736e-13,4.57857801813976e-14,"134/150/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/7124/7349/7432",15
"BP","GO:0051048","negative regulation of secretion","13/55","172/18870",1.97265715969586e-15,2.91837220978535e-13,1.27520376143807e-13,"134/150/1268/1392/1813/1906/3351/3553/3630/4129/4988/7124/7349",13
"BP","GO:0051952","regulation of amine transport","11/55","97/18870",3.66828393380818e-15,5.12540782973754e-13,2.23958387537762e-13,"134/135/150/551/1268/1392/1812/1813/3351/7124/7432",11
"BP","GO:0030072","peptide hormone secretion","14/55","241/18870",5.7549153851573e-15,7.61769062824769e-13,3.32860479894971e-13,"150/1268/1392/1813/1906/1908/2641/3458/3553/3569/3630/7124/7349/7432",14
"BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","14/55","248/18870",8.56439490548086e-15,1.07697265936422e-12,4.70590962174843e-13,"134/135/147/150/1268/1812/1813/1906/2641/3351/3352/4985/4988/7432",14
"BP","GO:0007631","feeding behavior","11/55","106/18870",1.00558698656748e-14,1.20431012915106e-12,5.26231986955616e-13,"135/1268/1636/1812/1813/2641/3351/3630/4985/5972/7349",11
"BP","GO:0015837","amine transport","11/55","108/18870",1.24256347279081e-14,1.42047597003131e-12,6.20687208417991e-13,"134/135/150/551/1268/1392/1812/1813/3351/7124/7432",11
"BP","GO:1903522","regulation of blood circulation","14/55","258/18870",1.48097061185779e-14,1.61940916905319e-12,7.07612502873928e-13,"134/147/150/183/551/624/1636/1813/1906/1908/3269/4878/7124/7349",14
"BP","GO:1903531","negative regulation of secretion by cell","12/55","152/18870",1.56538853201585e-14,1.64039673250828e-12,7.16783169923049e-13,"134/150/1268/1392/1813/1906/3351/3553/3630/4129/4988/7349",12
"BP","GO:0050804","modulation of chemical synaptic transmission","17/55","489/18870",2.24119736020217e-14,2.24147874239417e-12,9.79430284423778e-13,"134/135/150/1268/1636/1812/1813/1906/2890/2904/3269/3351/3553/3630/5327/7124/7349",17
"BP","GO:0099177","regulation of trans-synaptic signaling","17/55","490/18870",2.31723448517886e-14,2.24147874239417e-12,9.79430284423778e-13,"134/135/150/1268/1636/1812/1813/1906/2890/2904/3269/3351/3553/3630/5327/7124/7349",17
"BP","GO:0045471","response to ethanol","11/55","121/18870",4.47192436853938e-14,4.1655147358802e-12,1.82015167280901e-12,"551/847/1268/1813/2904/3351/3558/4129/4988/6647/7124",11
"BP","GO:0019229","regulation of vasoconstriction","9/55","64/18870",1.85969252912463e-13,1.67040239669587e-11,7.29894361054929e-12,"147/150/183/551/624/1636/1906/1908/3269",9
"BP","GO:0097305","response to alcohol","13/55","254/18870",3.07616850250801e-13,2.66778061510609e-11,1.16570595884514e-11,"551/847/1268/1636/1813/2904/3351/3558/4129/4988/6340/6647/7124",13
"BP","GO:0002791","regulation of peptide secretion","12/55","198/18870",3.76708741431412e-13,3.158074949e-11,1.37994360019086e-11,"134/150/1268/1392/1813/2641/3458/3553/3569/3630/7124/7349",12
"BP","GO:0090087","regulation of peptide transport","12/55","200/18870",4.24665239124882e-13,3.44526798838412e-11,1.50543466772963e-11,"134/150/1268/1392/1813/2641/3458/3553/3569/3630/7124/7349",12
"BP","GO:0044703","multi-organism reproductive process","12/55","206/18870",6.03814845719489e-13,4.74560730307661e-11,2.07362729911561e-11,"150/1268/1392/1636/1906/3553/4878/5368/5617/6647/6863/7349",12
"BP","GO:0050795","regulation of behavior","9/55","74/18870",7.30074671998371e-13,5.56405393962395e-11,2.43125345316204e-11,"134/135/1268/1392/1813/3351/3352/3630/7349",9
"BP","GO:0035249","synaptic transmission, glutamatergic","10/55","111/18870",7.69034767067443e-13,5.68859540933711e-11,2.48567274556783e-11,"134/135/1268/1812/1813/2890/2904/3351/7124/7349",10
"BP","GO:0044706","multi-multicellular organism process","12/55","216/18870",1.06025702076865e-12,7.61870402066618e-11,3.32904760806759e-11,"150/1268/1392/1636/1906/3553/4878/5368/5617/6647/6863/7349",12
"BP","GO:0051966","regulation of synaptic transmission, glutamatergic","9/55","79/18870",1.34462109900761e-12,9.2304485712409e-11,4.03331100068034e-11,"134/135/1268/1812/1813/2904/3351/7124/7349",9
"BP","GO:0051953","negative regulation of amine transport","7/55","28/18870",1.35795863672331e-12,9.2304485712409e-11,4.03331100068034e-11,"134/150/1268/1392/1813/3351/7124",7
"BP","GO:1903532","positive regulation of secretion by cell","13/55","288/18870",1.52281180313309e-12,1.00786096970519e-10,4.40392111487797e-11,"135/551/1392/1813/1906/1908/2641/3458/3552/3553/3630/7349/7432",13
"BP","GO:0050878","regulation of body fluid levels","14/55","365/18870",1.70104731467533e-12,1.09695743497653e-10,4.79323453851833e-11,"134/135/150/551/1813/1906/3569/3827/4879/5327/5328/5617/6340/7432",14
"BP","GO:0003012","muscle system process","15/55","452/18870",1.92818639102382e-12,1.21234719335623e-10,5.29743840060228e-11,"134/147/150/183/624/1812/1813/1906/1908/3352/3553/4878/6647/7124/7349",15
"BP","GO:0051051","negative regulation of transport","15/55","469/18870",3.26907740480193e-12,2.00529992026265e-10,8.76230246627271e-11,"134/150/1268/1392/1636/1813/1906/3351/3553/3630/4129/4988/7124/7349/7432",15
