"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0140353","lipid export from cell","7/47","47/18870",2.17480592710224e-11,3.1997774679803e-08,1.60654115195773e-08,"183/185/3952/5443/5743/5972/6696",7
"BP","GO:0008217","regulation of blood pressure","10/47","187/18870",2.70365650019459e-11,3.1997774679803e-08,1.60654115195773e-08,"183/185/387/3952/5443/5465/5743/5972/6337/6647",10
"BP","GO:0043434","response to peptide hormone","12/47","430/18870",4.27472378791846e-10,3.1112164042783e-07,1.56207649942419e-07,"183/185/1536/3158/3164/3952/4690/5443/5465/5743/6337/23175",12
"BP","GO:0044060","regulation of endocrine process","6/47","39/18870",5.25765340815936e-10,3.1112164042783e-07,1.56207649942419e-07,"183/185/3952/5443/5972/6696",6
"BP","GO:2000831","regulation of steroid hormone secretion","5/47","22/18870",1.96411708025243e-09,7.95104784125939e-07,3.99205434940158e-07,"183/185/5443/5972/6696",5
"BP","GO:0022407","regulation of cell-cell adhesion","12/47","493/18870",2.01547473796182e-09,7.95104784125939e-07,3.99205434940158e-07,"387/1803/3117/3123/3458/3557/3952/4690/5465/7040/7422/8440",12
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","8/47","147/18870",2.72374180090353e-09,8.24392013679546e-07,4.13909938605033e-07,"183/185/387/3952/4358/5465/6647/7040",8
"BP","GO:0050886","endocrine process","7/47","92/18870",2.78628479486116e-09,8.24392013679546e-07,4.13909938605033e-07,"183/185/387/3952/5443/5972/6696",7
"BP","GO:0032368","regulation of lipid transport","8/47","153/18870",3.73856716773107e-09,9.83243165113273e-07,4.93665769867647e-07,"183/185/348/3952/5443/5465/5972/6696",8
"BP","GO:0060986","endocrine hormone secretion","6/47","56/18870",5.0689189790034e-09,1.08619690419292e-06,5.4535668282472e-07,"183/185/3952/5443/5972/6696",6
"BP","GO:0072593","reactive oxygen species metabolic process","9/47","234/18870",5.3782144019001e-09,1.08619690419292e-06,5.4535668282472e-07,"183/185/387/1536/3952/4358/5465/6647/7040",9
"BP","GO:0050727","regulation of inflammatory response","11/47","425/18870",5.58591548663741e-09,1.08619690419292e-06,5.4535668282472e-07,"183/185/241/348/1773/3123/3458/5465/5743/6647/7040",11
"BP","GO:0035929","steroid hormone secretion","5/47","27/18870",5.96559347465482e-09,1.08619690419292e-06,5.4535668282472e-07,"183/185/5443/5972/6696",5
"BP","GO:0048545","response to steroid hormone","10/47","330/18870",6.81436298005376e-09,1.15211408384195e-06,5.78452316126368e-07,"387/1536/3158/3557/5058/5465/5743/6337/6696/7040",10
"BP","GO:1905952","regulation of lipid localization","8/47","183/18870",1.5281168157067e-08,2.41136833518518e-06,1.21069746311078e-06,"183/185/348/3952/5443/5465/5972/6696",8
"BP","GO:0003018","vascular process in circulatory system","9/47","269/18870",1.80542327514962e-08,2.67089805767447e-06,1.34100189318679e-06,"183/185/348/387/3952/5743/6647/7040/7422",9
"BP","GO:0010631","epithelial cell migration","10/47","372/18870",2.12616583035983e-08,2.80802962780175e-06,1.40985277823946e-06,"183/348/387/1803/3164/3458/4627/5743/7040/7422",10
"BP","GO:0023061","signal release","11/47","484/18870",2.13538374737775e-08,2.80802962780175e-06,1.40985277823946e-06,"183/185/3123/3164/3458/3557/3952/5443/5743/5972/6696",11
