"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045454","cell redox homeostasis","4/12","41/18870",9.37330505398967e-09,5.98016862444541e-06,2.9205245220852e-06,"1649/4842/4843/4846",4
"BP","GO:0006527","arginine catabolic process","3/12","11/18870",3.23271864766779e-08,1.03123724860602e-05,5.03623536689298e-06,"4842/4843/4846",3
"BP","GO:0030810","positive regulation of nucleotide biosynthetic process","3/12","16/18870",1.09520350729807e-07,1.74684959414042e-05,8.53105889895337e-06,"4842/4843/4846",3
"BP","GO:1900373","positive regulation of purine nucleotide biosynthetic process","3/12","16/18870",1.09520350729807e-07,1.74684959414042e-05,8.53105889895337e-06,"4842/4843/4846",3
"BP","GO:0006525","arginine metabolic process","3/12","20/18870",2.22633168012495e-07,2.36648546519729e-05,1.15571637963768e-05,"4842/4843/4846",3
"BP","GO:0045981","positive regulation of nucleotide metabolic process","3/12","21/18870",2.59645740695627e-07,2.36648546519729e-05,1.15571637963768e-05,"4842/4843/4846",3
"BP","GO:1900544","positive regulation of purine nucleotide metabolic process","3/12","21/18870",2.59645740695627e-07,2.36648546519729e-05,1.15571637963768e-05,"4842/4843/4846",3
"BP","GO:0009065","glutamine family amino acid catabolic process","3/12","27/18870",5.69800272655575e-07,4.54415717442821e-05,2.21922211455329e-05,"4842/4843/4846",3
"BP","GO:0007263","nitric oxide mediated signal transduction","3/12","30/18870",7.90053292674368e-07,5.59408495110044e-05,2.73197351183919e-05,"4842/4843/4846",3
"BP","GO:0030808","regulation of nucleotide biosynthetic process","3/12","32/18870",9.64497405362145e-07,5.59408495110044e-05,2.73197351183919e-05,"4842/4843/4846",3
"BP","GO:1900371","regulation of purine nucleotide biosynthetic process","3/12","32/18870",9.64497405362145e-07,5.59408495110044e-05,2.73197351183919e-05,"4842/4843/4846",3
"BP","GO:0031281","positive regulation of cyclase activity","3/12","39/18870",1.77267692253418e-06,9.40177117471308e-05,4.59152659250135e-05,"4842/4843/4846",3
"BP","GO:0051349","positive regulation of lyase activity","3/12","40/18870",1.91572139923621e-06,9.40177117471308e-05,4.59152659250135e-05,"4842/4843/4846",3
"BP","GO:0045776","negative regulation of blood pressure","3/12","48/18870",3.34408199802601e-06,0.000141990840159789,6.93438189858069e-05,"4842/4843/4846",3
"BP","GO:1900542","regulation of purine nucleotide metabolic process","3/12","48/18870",3.34408199802601e-06,0.000141990840159789,6.93438189858069e-05,"4842/4843/4846",3
"BP","GO:0006140","regulation of nucleotide metabolic process","3/12","49/18870",3.56089881278468e-06,0.000141990840159789,6.93438189858069e-05,"4842/4843/4846",3
"BP","GO:0031279","regulation of cyclase activity","3/12","54/18870",4.78541625526955e-06,0.000179593857109528,8.77079387962717e-05,"4842/4843/4846",3
"BP","GO:0051339","regulation of lyase activity","3/12","58/18870",5.94450099632062e-06,0.000210699535314031,0.000102898964614673,"4842/4843/4846",3
"BP","GO:0006809","nitric oxide biosynthetic process","3/12","73/18870",1.19180308054634e-05,0.000400194929151875,0.000195442499635299,"4842/4843/4846",3
"BP","GO:0046209","nitric oxide metabolic process","3/12","78/18870",1.45516307613748e-05,0.000438497926577527,0.000214148467690064,"4842/4843/4846",3
"BP","GO:0009064","glutamine family amino acid metabolic process","3/12","79/18870",1.51206181578458e-05,0.000438497926577527,0.000214148467690064,"4842/4843/4846",3
"BP","GO:2001057","reactive nitrogen species metabolic process","3/12","79/18870",1.51206181578458e-05,0.000438497926577527,0.000214148467690064,"4842/4843/4846",3
"BP","GO:1901606","alpha-amino acid catabolic process","3/12","93/18870",2.46882513981323e-05,0.000684830625739497,0.000334449538391175,"4842/4843/4846",3
"BP","GO:0009063","amino acid catabolic process","3/12","113/18870",4.42266289535948e-05,0.00108625829214849,0.000530494067770919,"4842/4843/4846",3
"BP","GO:0017014","protein nitrosylation","2/12","16/18870",4.42675793038571e-05,0.00108625829214849,0.000530494067770919,"4842/4843",2
"BP","GO:0018119","peptidyl-cysteine S-nitrosylation","2/12","16/18870",4.42675793038571e-05,0.00108625829214849,0.000530494067770919,"4842/4843",2
"BP","GO:0043271","negative regulation of monoatomic ion transport","3/12","133/18870",7.18863379445997e-05,0.00169864754106128,0.000829565537294405,"4842/4846/10105",3
