"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0021915","neural tube development","4/11","162/18870",1.64816415506604e-06,0.00134819827884402,0.000685289306580091,"3280/7248/7249/51339",4
"BP","GO:0060562","epithelial tube morphogenesis","4/11","334/18870",2.88370706051576e-05,0.0115436790256755,0.00586765308858813,"3280/6299/7248/7249",4
"BP","GO:0048565","digestive tract development","3/11","134/18870",5.54175400883521e-05,0.0115436790256755,0.00586765308858813,"3280/6299/51339",3
"BP","GO:0055123","digestive system development","3/11","146/18870",7.15381739929125e-05,0.0115436790256755,0.00586765308858813,"3280/6299/51339",3
"BP","GO:0016331","morphogenesis of embryonic epithelium","3/11","152/18870",8.06371096532011e-05,0.0115436790256755,0.00586765308858813,"3714/7248/7249",3
"BP","GO:0072273","metanephric nephron morphogenesis","2/11","24/18870",8.46724622910186e-05,0.0115436790256755,0.00586765308858813,"3280/6299",2
"BP","GO:0003338","metanephros morphogenesis","2/11","31/18870",0.000142337447388954,0.0155193342461091,0.00788847899525558,"3280/6299",2
"BP","GO:0016242","negative regulation of macroautophagy","2/11","32/18870",0.000151778330035297,0.0155193342461091,0.00788847899525558,"7248/7249",2
"BP","GO:0031330","negative regulation of cellular catabolic process","3/11","208/18870",0.000204060936103136,0.0175574117102904,0.00892443395388589,"4615/7248/7249",3
"BP","GO:0072210","metanephric nephron development","2/11","41/18870",0.000250206626821125,0.0175574117102904,0.00892443395388589,"3280/6299",2
"BP","GO:0021983","pituitary gland development","2/11","42/18870",0.000262633414977359,0.0175574117102904,0.00892443395388589,"3280/6299",2
"BP","GO:0042491","inner ear auditory receptor cell differentiation","2/11","45/18870",0.000301694675356171,0.0175574117102904,0.00892443395388589,"3280/3714",2
"BP","GO:0050670","regulation of lymphocyte proliferation","3/11","238/18870",0.000303342457083056,0.0175574117102904,0.00892443395388589,"3280/4615/7356",3
"BP","GO:0032944","regulation of mononuclear cell proliferation","3/11","242/18870",0.000318554887778569,0.0175574117102904,0.00892443395388589,"3280/4615/7356",3
"BP","GO:1904262","negative regulation of TORC1 signaling","2/11","47/18870",0.000329216726668702,0.0175574117102904,0.00892443395388589,"7248/7249",2
"BP","GO:0045747","positive regulation of Notch signaling pathway","2/11","48/18870",0.000343421255947001,0.0175574117102904,0.00892443395388589,"3280/3714",2
"BP","GO:0035315","hair cell differentiation","2/11","53/18870",0.000418867496111015,0.0193102864037568,0.00981542031847117,"3280/3714",2
"BP","GO:0070663","regulation of leukocyte proliferation","3/11","267/18870",0.00042492072771103,0.0193102864037568,0.00981542031847117,"3280/4615/7356",3
"BP","GO:0021537","telencephalon development","3/11","276/18870",0.000468178338682114,0.0194748625605936,0.00989907439381606,"3280/6299/7248",3
"BP","GO:0061005","cell differentiation involved in kidney development","2/11","57/18870",0.000484515670045597,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0021545","cranial nerve development","2/11","63/18870",0.000591763850107926,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0060113","inner ear receptor cell differentiation","2/11","63/18870",0.000591763850107926,0.0194748625605936,0.00989907439381606,"3280/3714",2
"BP","GO:0046651","lymphocyte proliferation","3/11","307/18870",0.000638661489604022,0.0194748625605936,0.00989907439381606,"3280/4615/7356",3
"BP","GO:0060675","ureteric bud morphogenesis","2/11","67/18870",0.000669086750855906,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0001822","kidney development","3/11","314/18870",0.000681971997414681,0.0194748625605936,0.00989907439381606,"3280/6299/7248",3
"BP","GO:0032943","mononuclear cell proliferation","3/11","314/18870",0.000681971997414681,0.0194748625605936,0.00989907439381606,"3280/4615/7356",3
"BP","GO:0042490","mechanoreceptor differentiation","2/11","68/18870",0.000689142893999621,0.0194748625605936,0.00989907439381606,"3280/3714",2
"BP","GO:0072171","mesonephric tubule morphogenesis","2/11","68/18870",0.000689142893999621,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0050918","positive chemotaxis","2/11","69/18870",0.000709488638951167,0.0194748625605936,0.00989907439381606,"2277/7249",2
"BP","GO:0072001","renal system development","3/11","324/18870",0.000747052197409409,0.0194748625605936,0.00989907439381606,"3280/6299/7248",3
"BP","GO:0003281","ventricular septum development","2/11","74/18870",0.000815551514225553,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0032007","negative regulation of TOR signaling","2/11","74/18870",0.000815551514225553,0.0194748625605936,0.00989907439381606,"7248/7249",2
"BP","GO:0030111","regulation of Wnt signaling pathway","3/11","338/18870",0.000844668621228569,0.0194748625605936,0.00989907439381606,"6299/7249/51339",3
"BP","GO:0072078","nephron tubule morphogenesis","2/11","77/18870",0.000882646417316912,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0071496","cellular response to external stimulus","3/11","346/18870",0.000903943454769119,0.0194748625605936,0.00989907439381606,"4615/7248/7249",3
"BP","GO:0009895","negative regulation of catabolic process","3/11","349/18870",0.000926839228426803,0.0194748625605936,0.00989907439381606,"4615/7248/7249",3
"BP","GO:0021536","diencephalon development","2/11","79/18870",0.00092881215621073,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0072088","nephron epithelium morphogenesis","2/11","79/18870",0.00092881215621073,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0070661","leukocyte proliferation","3/11","350/18870",0.000934552812216102,0.0194748625605936,0.00989907439381606,"3280/4615/7356",3
"BP","GO:0061333","renal tubule morphogenesis","2/11","81/18870",0.000976123918073761,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0072028","nephron morphogenesis","2/11","81/18870",0.000976123918073761,0.0194748625605936,0.00989907439381606,"3280/6299",2
"BP","GO:0010507","negative regulation of autophagy","2/11","90/18870",0.00120314882609263,0.0216120325932482,0.0109853981139275,"7248/7249",2
"BP","GO:0001843","neural tube closure","2/11","91/18870",0.00122979469156515,0.0216120325932482,0.0109853981139275,"7248/7249",2
"BP","GO:0060606","tube closure","2/11","92/18870",0.00125672371005368,0.0216120325932482,0.0109853981139275,"7248/7249",2
"BP","GO:1903432","regulation of TORC1 signaling","2/11","93/18870",0.00128393560333599,0.0216120325932482,0.0109853981139275,"7248/7249",2
"BP","GO:0001656","metanephros development","2/11","94/18870",0.00131143009336912,0.0216120325932482,0.0109853981139275,"3280/6299",2
"BP","GO:0014020","primary neural tube formation","2/11","97/18870",0.00139560636623066,0.0216120325932482,0.0109853981139275,"7248/7249",2
"BP","GO:0021675","nerve development","2/11","97/18870",0.00139560636623066,0.0216120325932482,0.0109853981139275,"3280/6299",2
