"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050867","positive regulation of cell activation","20/82","396/18870",3.21695072906592e-16,9.98219811229157e-13,5.27579919566812e-13,"596/3115/3117/3119/3123/3135/3553/3565/3567/3569/3596/4602/6347/6352/7040/7124/9173/30009/85480/90865",20
"BP","GO:0002696","positive regulation of leukocyte activation","19/82","380/18870",2.36477427515091e-15,3.66894728789664e-12,1.93911490562375e-12,"596/3115/3117/3119/3123/3135/3553/3565/3567/3569/3596/6347/6352/7040/7124/9173/30009/85480/90865",19
"BP","GO:0050727","regulation of inflammatory response","19/82","425/18870",1.80086291520366e-14,1.85092820219345e-11,9.782540288744e-12,"240/2950/3123/3371/3553/3565/3569/3596/4318/6352/6647/7040/7124/7356/7941/9173/10318/85480/90865",19
"BP","GO:0001819","positive regulation of cytokine production","20/82","499/18870",2.61159380796958e-14,1.85092820219345e-11,9.782540288744e-12,"929/3115/3135/3162/3553/3565/3569/3570/3596/4602/4843/5142/5144/6647/7040/7124/9173/30009/85480/90865",20
"BP","GO:0070663","regulation of leukocyte proliferation","16/82","267/18870",2.98248179534878e-14,1.85092820219345e-11,9.782540288744e-12,"383/384/596/2950/3115/3123/3135/3553/3565/3567/3569/3596/6352/7356/22806/90865",16
"BP","GO:0007159","leukocyte cell-cell adhesion","18/82","419/18870",1.9065612872757e-13,9.86009945736085e-11,5.21126751855359e-11,"240/383/384/3115/3117/3119/3123/3135/3383/3553/3565/3569/6347/6352/7124/7356/10318/30009",18
"BP","GO:0000302","response to reactive oxygen species","14/82","205/18870",2.34562486624098e-13,9.95351636738389e-11,5.26064029729603e-11,"117/374/596/847/1728/1906/2950/3162/3569/4318/4602/6647/7356/8989",14
"BP","GO:0022407","regulation of cell-cell adhesion","19/82","493/18870",2.56616599868099e-13,9.95351636738389e-11,5.26064029729603e-11,"240/383/384/3115/3117/3119/3123/3135/3553/3557/3565/3569/6347/6352/7040/7124/7356/7422/30009",19
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","11/82","98/18870",4.30303495445071e-13,1.48359082929562e-10,7.84108591699907e-11,"1786/1906/3162/3569/3570/3596/4318/4602/6352/7040/7124",11
"BP","GO:0032642","regulation of chemokine production","11/82","104/18870",8.38971377900949e-13,2.54618779038554e-10,1.34571317313319e-10,"384/2950/3162/3553/3569/3570/7040/7124/9173/85480/90865",11
"BP","GO:0032602","chemokine production","11/82","105/18870",9.33907479681012e-13,2.54618779038554e-10,1.34571317313319e-10,"384/2950/3162/3553/3569/3570/7040/7124/9173/85480/90865",11
"BP","GO:0050900","leukocyte migration","17/82","396/18870",9.84668175463308e-13,2.54618779038554e-10,1.34571317313319e-10,"240/1906/3162/3383/3553/3565/3569/3570/5142/6347/6352/6356/7124/7422/7941/30009/90865",17
