"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032634","interleukin-5 production","1/3","20/18870",0.00317644953132634,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032674","regulation of interleukin-5 production","1/3","20/18870",0.00317644953132634,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032616","interleukin-13 production","1/3","21/18870",0.00333509518922614,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032656","regulation of interleukin-13 production","1/3","21/18870",0.00333509518922614,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032633","interleukin-4 production","1/3","35/18870",0.00555436730721015,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032673","regulation of interleukin-4 production","1/3","35/18870",0.00555436730721015,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0007212","dopamine receptor signaling pathway","1/3","38/18870",0.00602949660379015,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0032689","negative regulation of type II interferon production","1/3","44/18870",0.00697930113126533,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0007566","embryo implantation","1/3","60/18870",0.0095091546788495,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0042130","negative regulation of T cell proliferation","1/3","72/18870",0.0114037224927748,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0070527","platelet aggregation","1/3","72/18870",0.0114037224927748,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:1903351","cellular response to dopamine","1/3","73/18870",0.0115614940021121,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:1903350","response to dopamine","1/3","74/18870",0.0117192487245674,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0071868","cellular response to monoamine stimulus","1/3","87/18870",0.0137685329166011,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0071870","cellular response to catecholamine stimulus","1/3","87/18870",0.0137685329166011,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0050672","negative regulation of lymphocyte proliferation","1/3","88/18870",0.0139260527164864,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032945","negative regulation of mononuclear cell proliferation","1/3","89/18870",0.014083555742887,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0071867","response to monoamine","1/3","90/18870",0.0142410419966952,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0071869","response to catecholamine","1/3","90/18870",0.0142410419966952,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0034109","homotypic cell-cell adhesion","1/3","96/18870",0.0151856073451235,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0070664","negative regulation of leukocyte proliferation","1/3","96/18870",0.0151856073451235,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0120162","positive regulation of cold-induced thermogenesis","1/3","101/18870",0.0159722840529337,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0007218","neuropeptide signaling pathway","1/3","110/18870",0.0173872462038998,0.0550638370199953,0.0126327291408896,"5173",1
"BP","GO:0032609","type II interferon production","1/3","119/18870",0.0188008512940816,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0032649","regulation of type II interferon production","1/3","119/18870",0.0188008512940816,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0071774","response to fibroblast growth factor","1/3","123/18870",0.0194286847935802,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0051384","response to glucocorticoid","1/3","127/18870",0.0200562504174556,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0030168","platelet activation","1/3","133/18870",0.0209970967115118,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0050868","negative regulation of T cell activation","1/3","133/18870",0.0209970967115118,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0031960","response to corticosteroid","1/3","149/18870",0.0235030756263094,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0120161","regulation of cold-induced thermogenesis","1/3","150/18870",0.0236595571589797,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0106106","cold-induced thermogenesis","1/3","151/18870",0.0238160219735377,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:1903038","negative regulation of leukocyte cell-cell adhesion","1/3","152/18870",0.0239724700708761,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","1/3","158/18870",0.0249108076433147,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:1990845","adaptive thermogenesis","1/3","168/18870",0.0264733668152369,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0051250","negative regulation of lymphocyte activation","1/3","169/18870",0.026629530856492,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0042129","regulation of T cell proliferation","1/3","182/18870",0.0286581439138528,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0001659","temperature homeostasis","1/3","183/18870",0.0288140742203735,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0007565","female pregnancy","1/3","186/18870",0.0292817650116687,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0002695","negative regulation of leukocyte activation","1/3","202/18870",0.0317735802208375,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0000302","response to reactive oxygen species","1/3","205/18870",0.0322403203196405,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0022408","negative regulation of cell-cell adhesion","1/3","205/18870",0.0322403203196405,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0044703","multi-organism reproductive process","1/3","206/18870",0.0323958670134012,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0042098","T cell proliferation","1/3","213/18870",0.0334842272129857,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0060348","bone development","1/3","215/18870",0.033795037299994,0.0550638370199953,0.0126327291408896,"2778",1
"BP","GO:0044706","multi-multicellular organism process","1/3","216/18870",0.0339504173529609,0.0550638370199953,0.0126327291408896,"7356",1
"BP","GO:0050866","negative regulation of cell activation","1/3","223/18870",0.0350376113170613,0.0550638370199953,0.0126327291408896,"7356",1
