"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032496","response to lipopolysaccharide","11/35","348/18870",2.01451564965636e-11,3.927361650841e-08,1.89303981752393e-08,"1543/2919/2920/3066/3569/3576/4318/4843/4846/7124/7356",11
"BP","GO:0002237","response to molecule of bacterial origin","11/35","369/18870",3.77812568623473e-11,3.927361650841e-08,1.89303981752393e-08,"1543/2919/2920/3066/3569/3576/4318/4843/4846/7124/7356",11
"BP","GO:0072593","reactive oxygen species metabolic process","9/35","234/18870",3.17135847218112e-10,2.19775142122152e-07,1.05934500544436e-07,"1543/1544/4843/4846/6441/6649/7040/7124/7157",9
"BP","GO:0070482","response to oxygen levels","10/35","343/18870",4.23715265842987e-10,2.20226009421893e-07,1.06151824495401e-07,"1543/3066/3162/4323/4843/6649/7040/7124/7157/59341",10
"BP","GO:0071216","cellular response to biotic stimulus","9/35","265/18870",9.52047013791046e-10,3.95861148334317e-07,1.90810264658753e-07,"2919/2920/3569/3576/4318/4843/4846/7124/7157",9
"BP","GO:0006979","response to oxidative stress","10/35","400/18870",1.87382606923475e-09,6.49280732989841e-07,3.12961827703769e-07,"2309/3066/3162/3569/4318/4323/4846/6649/7157/7356",10
"BP","GO:0001666","response to hypoxia","9/35","298/18870",2.66745248277859e-09,7.92233387385242e-07,3.81866881745146e-07,"1543/3162/4323/4843/6649/7040/7124/7157/59341",9
"BP","GO:0036293","response to decreased oxygen levels","9/35","315/18870",4.33080029500187e-09,1.05717618434068e-06,5.09572784229427e-07,"1543/3162/4323/4843/6649/7040/7124/7157/59341",9
"BP","GO:0062197","cellular response to chemical stress","9/35","317/18870",4.5765202785311e-09,1.05717618434068e-06,5.09572784229427e-07,"2309/3066/3162/3569/4318/4846/6649/7157/59341",9
"BP","GO:0071222","cellular response to lipopolysaccharide","8/35","226/18870",6.66344244278885e-09,1.3853296838558e-06,6.67747074266841e-07,"2919/2920/3569/3576/4318/4843/4846/7124",8
"BP","GO:0071219","cellular response to molecule of bacterial origin","8/35","239/18870",1.03220652800586e-08,1.95087033793108e-06,9.40345085800555e-07,"2919/2920/3569/3576/4318/4843/4846/7124",8
"BP","GO:0034599","cellular response to oxidative stress","8/35","255/18870",1.71099980399269e-08,2.96430716041734e-06,1.428834924036e-06,"2309/3066/3162/3569/4318/4846/6649/7157",8
"BP","GO:0048660","regulation of smooth muscle cell proliferation","7/35","171/18870",2.40948514850322e-08,3.85332278749092e-06,1.85735211447374e-06,"2006/3162/3569/4318/4846/7040/7124",7
"BP","GO:0048659","smooth muscle cell proliferation","7/35","175/18870",2.82618643476708e-08,4.19688685562911e-06,2.02295450067538e-06,"2006/3162/3569/4318/4846/7040/7124",7
"BP","GO:0050900","leukocyte migration","9/35","396/18870",3.14154000550884e-08,4.35417444763525e-06,2.09876918262766e-06,"2919/2920/3162/3569/3576/4323/6441/7124/59341",9
"BP","GO:0032963","collagen metabolic process","6/35","106/18870",3.87297694341102e-08,4.86492382068038e-06,2.34495707819434e-06,"3066/3569/4312/4318/4323/7040",6
