"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009410","response to xenobiotic stimulus","15/66","434/18870",1.9265343230956e-11,5.09568328458785e-08,3.00944940576196e-08,"9/196/847/1728/1869/3297/3553/3757/4609/5243/5743/6648/6750/7150/9446",15
"BP","GO:0009636","response to toxic substance","12/66","258/18870",8.45689121267148e-11,1.1184238628758e-07,6.60527713663394e-08,"196/847/1728/2878/2952/4846/5243/5743/6648/6722/9446/57016",12
"BP","GO:0098754","detoxification","10/66","158/18870",1.79399488063134e-10,1.5817054864233e-07,9.34136281704179e-08,"847/1728/2878/2952/4846/5243/5743/6648/9446/57016",10
"BP","GO:1990748","cellular detoxification","9/66","119/18870",3.17898192917129e-10,2.10210180066452e-07,1.24147610076058e-07,"847/1728/2878/2952/4846/5743/6648/9446/57016",9
"BP","GO:0001666","response to hypoxia","12/66","298/18870",4.43945319916816e-10,2.34847074235995e-07,1.38697864159275e-07,"472/847/1386/3297/4609/5465/5743/6648/6722/7015/7422/10370",12
"BP","GO:0097237","cellular response to toxic substance","9/66","128/18870",6.11323196521574e-10,2.69491642466594e-07,1.5915853046281e-07,"847/1728/2878/2952/4846/5743/6648/9446/57016",9
"BP","GO:0036293","response to decreased oxygen levels","12/66","315/18870",8.35712025855118e-10,3.1577975834097e-07,1.8649573629609e-07,"472/847/1386/3297/4609/5465/5743/6648/6722/7015/7422/10370",12
"BP","GO:0071466","cellular response to xenobiotic stimulus","10/66","192/18870",1.21038444441358e-09,4.00183356934241e-07,2.36343488882863e-07,"9/196/1728/1869/3297/3553/3757/4609/5243/9446",10
"BP","GO:0098869","cellular oxidant detoxification","8/66","99/18870",1.92506313087029e-09,5.65754664572435e-07,3.34127916515966e-07,"847/1728/2878/2952/4846/5743/6648/9446",8
"BP","GO:0070482","response to oxygen levels","12/66","343/18870",2.19254144076515e-09,5.79927211082382e-07,3.42498052431103e-07,"472/847/1386/3297/4609/5465/5743/6648/6722/7015/7422/10370",12
"BP","GO:0007584","response to nutrient","9/66","155/18870",3.34598771042154e-09,8.04557954005906e-07,4.75162273901011e-07,"847/1728/2067/3297/5743/6648/6722/6750/7421",9
"BP","GO:0010586","miRNA metabolic process","7/66","105/18870",8.02527133226478e-08,1.76890355615336e-05,1.04469321553341e-05,"4609/5465/6722/7015/7528/79727/389421",7
"BP","GO:0002573","myeloid leukocyte differentiation","9/66","235/18870",1.23481098515051e-07,2.38844983282074e-05,1.41058981271753e-05,"1436/1969/2194/3297/4057/4609/7422/9290/10370",9
"BP","GO:0031667","response to nutrient levels","12/66","495/18870",1.26420785102043e-07,2.38844983282074e-05,1.41058981271753e-05,"847/1386/1728/2067/3297/5465/5743/6648/6722/6750/7421/7442",12
"BP","GO:0097193","intrinsic apoptotic signaling pathway","10/66","319/18870",1.51167498816281e-07,2.66558689579376e-05,1.57426363679552e-05,"472/672/1386/1869/1969/4609/5329/5743/6648/54431",10
"BP","GO:0006809","nitric oxide biosynthetic process","6/66","73/18870",2.05609666919689e-07,3.28966214326198e-05,1.94283498979237e-05,"1728/3553/4846/5743/6648/7442",6
"BP","GO:0071214","cellular response to abiotic stimulus","10/66","334/18870",2.31248204996969e-07,3.28966214326198e-05,1.94283498979237e-05,"472/672/2067/3297/3553/4609/5743/7442/7528/8797",10
"BP","GO:0104004","cellular response to environmental stimulus","10/66","334/18870",2.31248204996969e-07,3.28966214326198e-05,1.94283498979237e-05,"472/672/2067/3297/3553/4609/5743/7442/7528/8797",10
"BP","GO:0001659","temperature homeostasis","8/66","183/18870",2.38584144257625e-07,3.28966214326198e-05,1.94283498979237e-05,"3297/3397/3553/3606/3934/5743/7422/7442",8
"BP","GO:0048771","tissue remodeling","8/66","184/18870",2.48745719717352e-07,3.28966214326198e-05,1.94283498979237e-05,"823/1436/1969/3558/3606/4846/7421/9290",8
"BP","GO:0046209","nitric oxide metabolic process","6/66","78/18870",3.06030912956036e-07,3.77356074804994e-05,2.22861969957461e-05,"1728/3553/4846/5743/6648/7442",6
"BP","GO:0090399","replicative senescence","4/66","17/18870",3.13868946907745e-07,3.77356074804994e-05,2.22861969957461e-05,"472/1029/2067/7015",4
"BP","GO:2001057","reactive nitrogen species metabolic process","6/66","79/18870",3.30282016386973e-07,3.79824318845019e-05,2.24319685271519e-05,"1728/3553/4846/5743/6648/7442",6
"BP","GO:0048732","gland development","11/66","443/18870",3.54419229467206e-07,3.9059952580865e-05,2.3068339321462e-05,"472/823/1386/1436/1969/2194/6648/6722/7421/7422/10370",11
"BP","GO:0001894","tissue homeostasis","9/66","279/18870",5.25860961784829e-07,5.34962401508028e-05,3.15942375420521e-05,"1436/3845/4057/4846/5743/6722/7422/9290/100506658",9
"BP","GO:0060249","anatomical structure homeostasis","9/66","279/18870",5.25860961784829e-07,5.34962401508028e-05,3.15942375420521e-05,"1436/3845/4057/4846/5743/6722/7422/9290/100506658",9
"BP","GO:2000628","regulation of miRNA metabolic process","6/66","86/18870",5.48084849009107e-07,5.36920157640403e-05,3.17098602701565e-05,"4609/5465/6722/7015/7528/389421",6
"BP","GO:0045776","negative regulation of blood pressure","5/66","48/18870",6.83859941273284e-07,6.46003408809941e-05,3.81521861973516e-05,"2740/4846/5465/6648/7442",5
"BP","GO:1903131","mononuclear cell differentiation","11/66","481/18870",7.98460882247098e-07,7.28251390877094e-05,4.30096533304789e-05,"472/1386/1436/2194/3553/3558/3606/4609/6722/7422/7528",11
"BP","GO:2001233","regulation of apoptotic signaling pathway","10/66","398/18870",1.14616687599591e-06,0.000101053712900306,5.96811103150152e-05,"672/2923/3553/4609/4846/5329/5743/6648/7015/57448",10
"BP","GO:0006979","response to oxidative stress","10/66","400/18870",1.19921467457776e-06,0.000102320090782522,6.04290178972292e-05,"472/847/1386/1728/2067/2878/3297/4846/5743/6648",10
"BP","GO:0097191","extrinsic apoptotic signaling pathway","8/66","229/18870",1.30496537454928e-06,0.000107863544240089,6.37029149944453e-05,"672/2923/3553/3558/4846/7015/8797/57448",8
"BP","GO:0009743","response to carbohydrate","8/66","230/18870",1.3482866159248e-06,0.000108067215124881,6.3823200575196e-05,"847/1728/2067/3553/5743/6648/6722/79727",8
