Edge,GO,Ref,ONTOLOGY,ID,Description,Diff_RR,Diff_Corr,Count,TF(Corr),TF(RR),TF(Count),IDF(Corr),IDF(RR),IDF(Count),TFIDF(Corr),TFIDF(RR),TFIDF(Count)
"['ICD9 079', 'ICD9 428']",GO:0072659,"['ICD9 079', 'ICD9 428']_GO:0072659",BP,GO:0072659,protein localization to plasma membrane,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.6497612065875287,1.482850298843654,1.7047480922384253,0.002013367055887383,0.49962104422756604,0.13113446863372502
"['ICD9 079', 'ICD9 428']",GO:1990778,"['ICD9 079', 'ICD9 428']_GO:1990778",BP,GO:1990778,protein localization to cell periphery,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.4339038235253856,1.2766361334444771,1.550597412411167,0.0017499349045602608,0.4301407084636686,0.11927672403162824
"['ICD9 079', 'ICD9 428']",GO:0034976,"['ICD9 079', 'ICD9 428']_GO:0034976",BP,GO:0034976,response to endoplasmic reticulum stress,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.6497612065875287,1.482850298843654,1.7047480922384253,0.002013367055887383,0.49962104422756604,0.13113446863372502
"['ICD9 079', 'ICD9 428']",GO:0007249,"['ICD9 079', 'ICD9 428']_GO:0007249",BP,GO:0007249,canonical NF-kappaB signal transduction,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.3125434700526897,1.2047737195986328,1.4170660197866443,0.0016018268410434877,0.4059278973158591,0.10900507844512648
"['ICD9 079', 'ICD9 428']",GO:0043122,"['ICD9 079', 'ICD9 428']_GO:0043122",BP,GO:0043122,regulation of canonical NF-kappaB signal transduction,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.1923681478528372,1.0936881328652968,1.4170660197866443,0.0014551649885998154,0.36849950897104683,0.10900507844512648
"['ICD9 079', 'ICD9 428']",GO:0045732,"['ICD9 079', 'ICD9 428']_GO:0045732",BP,GO:0045732,positive regulation of protein catabolic process,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.3902324276726954,1.1471194551981687,1.2992829841302609,0.0016966383733148108,0.38650227909506174,0.099944844933097
"['ICD9 079', 'ICD9 428']",GO:1902117,"['ICD9 079', 'ICD9 428']_GO:1902117",BP,GO:1902117,positive regulation of organelle assembly,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,2.0632860015426924,1.8810048413839262,2.1102132003465894,0.0025180323344930473,0.6337724069531527,0.16232409233435305
"['ICD9 079', 'ICD9 428']",GO:0043123,"['ICD9 079', 'ICD9 428']_GO:0043123",BP,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.7101634195660376,1.3882959042898748,1.7047480922384253,0.00208708186093191,0.467762558323693,0.13113446863372502
"['ICD9 079', 'ICD9 428']",GO:0042176,"['ICD9 079', 'ICD9 428']_GO:0042176",BP,GO:0042176,regulation of protein catabolic process,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,0.8660861793506169,0.7177936771352152,1.0116009116784799,0.0010569707749831178,0.24184830174016955,0.07781545474449846
"['ICD9 079', 'ICD9 428']",GO:1903829,"['ICD9 079', 'ICD9 428']_GO:1903829",BP,GO:1903829,positive regulation of protein localization,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,0.8983930003837383,0.7185581161961222,1.0986122886681098,0.0010963979895938193,0.24210586640610818,0.08450863758985461
"['ICD9 079', 'ICD9 428']",GO:0005788,"['ICD9 079', 'ICD9 428']_GO:0005788",CC,GO:0005788,endoplasmic reticulum lumen,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.5353265499517865,1.2957001789354015,1.7047480922384253,0.0018737111064068158,0.43656401250373583,0.13113446863372502
"['ICD9 079', 'ICD9 428']",GO:1990204,"['ICD9 079', 'ICD9 428']_GO:1990204",CC,GO:1990204,oxidoreductase complex,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.7636931117688062,1.738466085850112,1.8870696490323797,0.0021524094479563223,0.5857464113835145,0.14515920377172153
"['ICD9 079', 'ICD9 428']",GO:0050660,"['ICD9 079', 'ICD9 428']_GO:0050660",MF,GO:0050660,flavin adenine dinucleotide binding,4.38012763663554,0.0158651880175286,13,0.0012203990782714306,0.33693289512581076,0.07692307692307693,1.6006334865065803,1.3051242890879091,1.7047480922384253,0.001953411631583017,0.4397393052214048,0.13113446863372502
"['ICD9 079', 'ICD9 799']",GO:1903829,"['ICD9 079', 'ICD9 799']_GO:1903829",BP,GO:1903829,positive regulation of protein localization,5.108952447974263,0.0215230883675344,4,0.0053807720918836,1.2772381119935658,0.25,0.8983930003837383,0.7185581161961222,1.0986122886681098,0.004834047984008391,0.9177698116879884,0.27465307216702745
"['ICD9 079', 'ICD9 799']",GO:0005788,"['ICD9 079', 'ICD9 799']_GO:0005788",CC,GO:0005788,endoplasmic reticulum lumen,5.108952447974263,0.0215230883675344,4,0.0053807720918836,1.2772381119935658,0.25,1.5353265499517865,1.2957001789354015,1.7047480922384253,0.008261242251908505,1.6549176502531775,0.4261870230596063
"['ICD9 079', 'ICD9 799']",GO:0005759,"['ICD9 079', 'ICD9 799']_GO:0005759",CC,GO:0005759,mitochondrial matrix,5.108952447974263,0.0215230883675344,4,0.0053807720918836,1.2772381119935658,0.25,2.288729725658923,2.0978457327992874,2.3978952727983707,0.012315133033689942,2.6794485230143206,0.5994738181995927
"['ICD9 079', 'ICD9 799']",GO:0050660,"['ICD9 079', 'ICD9 799']_GO:0050660",MF,GO:0050660,flavin adenine dinucleotide binding,5.108952447974263,0.0215230883675344,4,0.0053807720918836,1.2772381119935658,0.25,1.6006334865065803,1.3051242890879091,1.7047480922384253,0.008612643993528953,1.6669544829115859,0.4261870230596063
"['ICD9 218', 'ICD9 780']",GO:0032386,"['ICD9 218', 'ICD9 780']_GO:0032386",BP,GO:0032386,regulation of intracellular transport,3.513350069456991,0.0108137059783574,22,0.0004915320899253364,0.1596977304298632,0.045454545454545456,1.2454668562937994,1.1741576779564769,1.550597412411167,0.0006121869268068299,0.18751031633644757,0.07048170056414396
