"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0090150","establishment of protein localization to membrane","25/329","280/18870",2.5600921301476e-11,4.86378020050844e-08,4.39875979516552e-08,"481/537/617/2040/2181/4218/5962/6728/6729/6731/7879/8546/9868/10890/23065/23787/26515/26519/26520/26521/51125/56850/64374/64689/90580",25
"BP","GO:0072594","establishment of protein localization to organelle","32/329","459/18870",2.87797645000499e-11,4.86378020050844e-08,4.39875979516552e-08,"617/1459/4927/4928/5898/6728/6729/6731/7879/8021/8546/9512/9648/9818/9868/10204/10531/10890/23203/23636/23649/23787/26515/26519/26520/26521/53371/55027/55823/80273/90580/131118",32
"BP","GO:0072655","establishment of protein localization to mitochondrion","17/329","124/18870",5.3814064635187e-11,6.06305128223107e-08,5.48336995440642e-08,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0070585","protein localization to mitochondrion","17/329","131/18870",1.30724543908434e-10,1.10462239602627e-07,9.99010725026561e-08,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0006605","protein targeting","25/329","339/18870",1.46779132000826e-09,9.92226932325581e-07,8.97361261748205e-07,"1459/2040/6728/6729/6731/7879/8546/9512/9648/9868/10531/10956/23203/23787/26515/26519/26520/26521/51125/53371/55823/64374/80273/90580/131118",25
"BP","GO:0006626","protein targeting to mitochondrion","14/329","106/18870",4.54147134343209e-09,2.55836219013341e-06,2.31376013707487e-06,"1459/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",14
"BP","GO:0090151","establishment of protein localization to mitochondrial membrane","9/329","38/18870",1.39455824652374e-08,6.73372410464321e-06,6.08992052316533e-06,"617/8546/9868/23787/26515/26519/26520/26521/90580",9
"BP","GO:0045039","protein insertion into mitochondrial inner membrane","6/329","13/18870",4.15511100511021e-08,1.75553439965906e-05,1.5876897840579e-05,"9868/26515/26519/26520/26521/90580",6
"BP","GO:0006839","mitochondrial transport","16/329","190/18870",2.3609733405734e-07,8.866766545709e-05,8.0190252409651e-05,"617/1459/4884/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",16
"BP","GO:0007007","inner mitochondrial membrane organization","8/329","40/18870",3.71022738672826e-07,0.000125405685671415,0.000113415792958514,"9868/26515/26519/26520/26521/27069/55735/90580",8
