"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008217","regulation of blood pressure","59/656","187/18870",2.87850972528316e-40,1.52014098592204e-36,8.71430944201513e-37,"153/183/185/186/367/387/476/477/490/551/796/1215/1636/1813/1889/1906/1908/1909/1910/2150/2642/2643/2702/2740/2784/2982/3291/3784/3816/3952/4843/4846/4878/4879/4881/5443/5465/5468/5743/5972/6337/6338/6340/6647/6648/6869/7124/7168/7349/7369/8870/9365/9370/10699/27347/51752/59272/65125/65266",59
"BP","GO:0003018","vascular process in circulatory system","65/656","269/18870",2.24884336517814e-36,4.20688789420699e-33,2.41162650290302e-33,"150/153/183/185/186/348/387/477/489/490/551/624/796/857/875/948/1401/1636/1889/1906/1908/1909/1910/2150/2643/2702/2729/2876/2982/3357/3579/3630/3643/3672/3779/3827/3952/3953/4313/4363/4544/4846/4878/4879/4881/5743/5910/5997/6338/6506/6513/6517/6558/6581/6647/6648/6649/6833/6869/7040/7124/7349/9368/59272/145741",65
"BP","GO:0035296","regulation of tube diameter","50/656","146/18870",3.18643279243097e-36,4.20688789420699e-33,2.41162650290302e-33,"150/153/183/185/186/348/387/477/490/551/624/796/857/875/1401/1636/1889/1906/1908/1909/1910/2150/2643/2702/2729/2876/2982/3357/3630/3672/3779/3827/3952/4313/4544/4846/4878/4879/4881/5743/5910/5997/6338/6647/6648/6649/6869/7124/7349/59272",50
"BP","GO:0097746","blood vessel diameter maintenance","50/656","146/18870",3.18643279243097e-36,4.20688789420699e-33,2.41162650290302e-33,"150/153/183/185/186/348/387/477/490/551/624/796/857/875/1401/1636/1889/1906/1908/1909/1910/2150/2643/2702/2729/2876/2982/3357/3630/3672/3779/3827/3952/4313/4544/4846/4878/4879/4881/5743/5910/5997/6338/6647/6648/6649/6869/7124/7349/59272",50
"BP","GO:0035150","regulation of tube size","50/656","147/18870",4.675914009746e-36,4.93870037709373e-33,2.83114288253253e-33,"150/153/183/185/186/348/387/477/490/551/624/796/857/875/1401/1636/1889/1906/1908/1909/1910/2150/2643/2702/2729/2876/2982/3357/3630/3672/3779/3827/3952/4313/4544/4846/4878/4879/4881/5743/5910/5997/6338/6647/6648/6649/6869/7124/7349/59272",50
"BP","GO:0043434","response to peptide hormone","78/656","430/18870",3.75595777190157e-34,3.30586883223536e-31,1.89511132491033e-31,"183/185/186/208/301/490/673/847/857/1036/1277/1281/1395/1536/1906/1909/1910/2200/2353/2475/2641/2642/2645/2729/2740/2888/2932/3291/3416/3553/3624/3630/3636/3643/3667/3784/3952/4218/4790/4825/5080/5167/5443/5465/5468/5566/5573/5579/5580/5743/5770/5910/5970/6198/6337/6338/6340/6513/6517/6794/6833/6938/7054/7076/7351/8614/8660/9365/9370/9518/10890/11132/22937/23411/26291/51083/55829/56729",78
"BP","GO:1901653","cellular response to peptide","65/656","374/18870",2.00030633999424e-27,1.50908825450137e-24,8.65094892304277e-25,"183/185/186/208/490/781/857/948/1395/1906/1909/2200/2353/2475/2641/2642/2645/2671/2697/2729/2740/2888/2932/3383/3416/3479/3553/3624/3630/3643/3667/3952/4218/4363/4790/4825/5080/5167/5468/5566/5573/5579/5580/5770/5910/5970/6198/6337/6338/6340/6517/7099/7124/7157/7351/7412/8660/9370/9518/10890/11132/23411/26291/55829/407054",65
"BP","GO:0046879","hormone secretion","57/656","308/18870",1.40121242641236e-25,9.24975352985462e-23,5.30248281363416e-23,"111/150/183/185/301/358/1374/1813/1906/1908/2150/2641/2645/2697/2740/3091/3172/3553/3569/3624/3630/3651/3667/3767/3784/3952/4544/4760/4825/4843/5443/5468/5566/5573/5579/5861/5972/6514/6616/6833/6869/6927/6928/6934/7124/7200/7349/7351/8660/9370/11132/51083/56729/65266/84876/91942/169026",57
"BP","GO:0009914","hormone transport","57/656","319/18870",8.91413089221312e-25,5.23061391575306e-22,2.99848426269064e-22,"111/150/183/185/301/358/1374/1813/1906/1908/2150/2641/2645/2697/2740/3091/3172/3553/3569/3624/3630/3651/3667/3767/3784/3952/4544/4760/4825/4843/5443/5468/5566/5573/5579/5861/5972/6514/6616/6833/6869/6927/6928/6934/7124/7200/7349/7351/8660/9370/11132/51083/56729/65266/84876/91942/169026",57
"BP","GO:0046883","regulation of hormone secretion","50/656","251/18870",4.6517600779583e-24,2.45659449716978e-21,1.40825915623243e-21,"111/150/183/185/301/1374/1813/1906/1908/2150/2641/2645/2697/3091/3172/3553/3569/3624/3630/3651/3667/3767/3952/4544/4760/4825/4843/5443/5468/5566/5573/5579/5972/6514/6616/6833/6869/6934/7124/7200/7349/7351/8660/9370/11132/51083/56729/84876/91942/169026",50
