"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002088","lens development in camera-type eye","24/372","89/18870",5.68910002991328e-21,2.08107279094228e-17,1.8971651468174e-17,"631/1409/1410/1411/1412/1414/1415/1417/1420/1421/1427/1969/2703/3299/3982/4094/4284/4810/5080/5309/7431/8419/23424/146862",24
"BP","GO:0001654","eye development","32/372","391/18870",1.10127655613665e-11,1.75526383319145e-08,1.60014843416032e-08,"631/1409/1410/1411/1412/1414/1415/1417/1420/1421/1427/1969/2200/2201/2703/2782/3066/3299/3982/4094/4284/4810/5080/5308/5309/7431/8419/22931/23424/27151/64093/146862",32
"BP","GO:0150063","visual system development","32/372","395/18870",1.43952747391316e-11,1.75526383319145e-08,1.60014843416032e-08,"631/1409/1410/1411/1412/1414/1415/1417/1420/1421/1427/1969/2200/2201/2703/2782/3066/3299/3982/4094/4284/4810/5080/5308/5309/7431/8419/22931/23424/27151/64093/146862",32
"BP","GO:0048880","sensory system development","32/372","401/18870",2.13702209622776e-11,1.95430670700029e-08,1.78160157917093e-08,"631/1409/1410/1411/1412/1414/1415/1417/1420/1421/1427/1969/2200/2201/2703/2782/3066/3299/3982/4094/4284/4810/5080/5308/5309/7431/8419/22931/23424/27151/64093/146862",32
"BP","GO:0043010","camera-type eye development","29/372","344/18870",5.21807793811023e-11,3.81754581952144e-08,3.48018334903857e-08,"631/1409/1410/1411/1412/1414/1415/1417/1420/1421/1427/1969/2200/2201/2703/2782/3066/3299/3982/4094/4284/4810/5080/5308/5309/7431/8419/23424/146862",29
"BP","GO:0090150","establishment of protein localization to membrane","25/372","280/18870",3.49272519505355e-10,1.88768851448375e-07,1.72087054009511e-07,"481/537/617/2040/2181/4218/5962/6728/6729/6731/7879/8546/9868/10890/23065/23787/26515/26519/26520/26521/51125/56850/64374/64689/90580",25
"BP","GO:0072655","establishment of protein localization to mitochondrion","17/372","124/18870",3.61230716276278e-10,1.88768851448375e-07,1.72087054009511e-07,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0072594","establishment of protein localization to organelle","32/372","459/18870",6.73486641438302e-10,3.07951766797664e-07,2.80737589483755e-07,"617/1459/4927/4928/5898/6728/6729/6731/7879/8021/8546/9512/9648/9818/9868/10204/10531/10890/23203/23636/23649/23787/26515/26519/26520/26521/53371/55027/55823/80273/90580/131118",32
"BP","GO:0070585","protein localization to mitochondrion","17/372","131/18870",8.64250946648874e-10,3.51269995871287e-07,3.20227719179372e-07,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0007601","visual perception","20/372","219/18870",1.43460602772993e-08,5.24778884943608e-06,4.78403357457728e-06,"1280/1409/1411/1412/1414/1415/1417/1420/1421/1427/2700/4284/5080/5538/7466/8419/11190/80781/92840/131118",20
"BP","GO:0006605","protein targeting","25/372","339/18870",1.75663670713357e-08,5.485935006682e-06,5.0011343849583e-06,"1459/2040/6728/6729/6731/7879/8546/9512/9648/9868/10531/10956/23203/23787/26515/26519/26520/26521/51125/53371/55823/64374/80273/90580/131118",25
"BP","GO:0006457","protein folding","20/372","223/18870",1.94962151686348e-08,5.485935006682e-06,5.0011343849583e-06,"1409/1410/1861/6388/6902/7466/7841/9529/10283/10525/23071/53938/55768/56605/60681/64374/80273/131118/146862/169714",20
"BP","GO:0050953","sensory perception of light stimulus","20/372","223/18870",1.94962151686348e-08,5.485935006682e-06,5.0011343849583e-06,"1280/1409/1411/1412/1414/1415/1417/1420/1421/1427/2700/4284/5080/5538/7466/8419/11190/80781/92840/131118",20
"BP","GO:0006626","protein targeting to mitochondrion","14/372","106/18870",2.14928424176832e-08,5.61577268313466e-06,5.11949810370079e-06,"1459/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",14
