"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0072594","establishment of protein localization to organelle","38/379","459/18870",1.4347136548472e-13,5.89523840776716e-10,4.60618594450945e-10,"617/968/1459/4927/4928/5743/5898/6720/6721/6728/6729/6731/7040/7879/8021/8546/9512/9648/9818/9868/10204/10531/10890/23203/23636/23649/23787/26515/26519/26520/26521/29927/53371/55027/55823/80273/90580/131118",38
"BP","GO:0072655","establishment of protein localization to mitochondrion","19/379","124/18870",6.06783180912507e-12,1.24663604518475e-08,9.74046685149024e-09,"617/1459/5898/6720/6721/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",19
"BP","GO:0070585","protein localization to mitochondrion","19/379","131/18870",1.64438066984162e-11,1.80067260806113e-08,1.4069376476762e-08,"617/1459/5898/6720/6721/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",19
"BP","GO:0090150","establishment of protein localization to membrane","27/379","280/18870",1.75290592169494e-11,1.80067260806113e-08,1.4069376476762e-08,"481/537/617/2040/2181/4218/5962/6728/6729/6731/7879/8546/9868/10890/23065/23787/26515/26519/26520/26521/29927/51125/56850/64374/64689/90580/653361",27
"BP","GO:0006605","protein targeting","29/379","339/18870",5.73792144614116e-11,4.71542384443881e-08,3.6843495601538e-08,"1459/2040/6720/6721/6728/6729/6731/7879/8546/9512/9648/9868/10531/10956/23203/23787/26515/26519/26520/26521/29927/51125/53371/55823/64374/80273/90580/131118/653361",29
"BP","GO:0006626","protein targeting to mitochondrion","16/379","106/18870",3.64556731558173e-10,2.49660601662089e-07,1.95069830044286e-07,"1459/6720/6721/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",16
"BP","GO:0010883","regulation of lipid storage","12/379","54/18870",5.81573790269904e-10,3.41383814888434e-07,2.66736851176422e-07,"19/949/1374/1401/3569/4481/4790/5465/6720/6721/7124/9619",12
"BP","GO:0006839","mitochondrial transport","19/379","190/18870",1.0153951135525e-08,5.21532315198405e-06,4.07494091623044e-06,"617/1374/1459/4884/6720/6721/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",19
"BP","GO:0090151","establishment of protein localization to mitochondrial membrane","9/379","38/18870",4.71387556333187e-08,1.82575504117956e-05,1.42653555753036e-05,"617/8546/9868/23787/26515/26519/26520/26521/90580",9
"BP","GO:0051235","maintenance of location","25/379","350/18870",4.74525958544657e-08,1.82575504117956e-05,1.42653555753036e-05,"19/213/949/1374/1401/1535/2200/2201/3569/4481/4790/5465/5566/6720/6721/7124/8733/9619/9908/10142/10577/10956/25777/27069/148867",25
"BP","GO:0019915","lipid storage","13/379","94/18870",4.88763822170239e-08,1.82575504117956e-05,1.42653555753036e-05,"19/949/1374/1401/3569/4481/4790/5465/6720/6721/7124/9619/10577",13
"BP","GO:0072593","reactive oxygen species metabolic process","20/379","234/18870",5.93962711375344e-08,2.03382731753441e-05,1.58911076289017e-05,"387/847/873/1401/1535/1536/2150/2876/5076/5465/7040/7124/8737/10193/10516/23408/26574/29949/50507/653361",20
"BP","GO:0045039","protein insertion into mitochondrial inner membrane","6/379","13/18870",9.61342179861411e-08,3.03858078234657e-05,2.37416489763344e-05,"9868/26515/26519/26520/26521/90580",6
"BP","GO:0010878","cholesterol storage","7/379","25/18870",4.38964416048678e-07,0.000128836056110287,0.000100664772101389,"19/949/4481/5465/6721/9619/10577",7
"BP","GO:0006457","protein folding","18/379","223/18870",6.39076837501245e-07,0.000175064448352841,0.000136784866973951,"1861/6388/6902/7466/7841/9529/10283/10525/23071/51726/53938/55768/56605/60681/64374/80273/131118/169714",18
"BP","GO:0007249","canonical NF-kappaB signal transduction","21/379","300/18870",7.96731471782159e-07,0.000204610601097056,0.000159870459798394,"387/2150/3162/4790/5970/7088/7124/8737/9188/9370/9755/9978/23085/23476/23636/29110/54602/57153/79671/79753/286827",21
"BP","GO:0007007","inner mitochondrial membrane organization","8/379","40/18870",1.07846517724974e-06,0.000246189634073288,0.000192357824012381,"9868/26515/26519/26520/26521/27069/55735/90580",8
"BP","GO:0010742","macrophage derived foam cell differentiation","8/379","40/18870",1.07846517724974e-06,0.000246189634073288,0.000192357824012381,"19/1401/4481/4790/5465/7040/9370/9619",8
"BP","GO:0042554","superoxide anion generation","8/379","41/18870",1.31662391106825e-06,0.000246351950389946,0.000192484648253343,"1401/1535/1536/2150/7040/26574/50507/653361",8
"BP","GO:0090077","foam cell differentiation","8/379","41/18870",1.31662391106825e-06,0.000246351950389946,0.000192484648253343,"19/1401/4481/4790/5465/7040/9370/9619",8
"BP","GO:0032386","regulation of intracellular transport","22/379","336/18870",1.33422748069226e-06,0.000246351950389946,0.000192484648253343,"1459/2040/5116/5566/5743/5962/6720/6721/7040/7905/8021/9370/9648/9818/9868/10956/26993/27248/53371/55823/56850/92840",22
"BP","GO:0010885","regulation of cholesterol storage","6/379","19/18870",1.37225977266459e-06,0.000246351950389946,0.000192484648253343,"19/949/4481/5465/6721/9619",6
"BP","GO:0045834","positive regulation of lipid metabolic process","14/379","145/18870",1.3789473981428e-06,0.000246351950389946,0.000192484648253343,"949/1374/2168/2181/5465/5743/6720/6721/7040/7124/9370/9619/22937/51085",14
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","14/379","147/18870",1.62574731275047e-06,0.000278341487837154,0.000217479355433725,"387/873/1401/1535/2150/5076/5465/7040/7124/8737/10193/10516/23408/26574",14
"BP","GO:0072659","protein localization to plasma membrane","20/379","290/18870",1.83719225781627e-06,0.000301960919494682,0.000235934163635352,"382/481/537/1173/2181/3688/4218/5318/5962/7040/7124/7879/9368/9370/10890/25831/25921/51125/56850/64689",20
"BP","GO:0006631","fatty acid metabolic process","24/379","401/18870",2.15612123495545e-06,0.000340750082862766,0.000266241690956037,"34/38/873/1374/1555/1557/2108/2168/2181/2194/2876/5465/5577/5742/5743/6720/9370/11001/22937/28976/51085/51094/80142/219743",24
"BP","GO:0036503","ERAD pathway","12/379","111/18870",2.39159087608187e-06,0.000363964700363719,0.000284380201639364,"1861/7466/7993/8975/10956/27248/51439/55757/55768/55829/80020/80267",12
"BP","GO:1990778","protein localization to cell periphery","22/379","353/18870",2.99662724332206e-06,0.000439755047957512,0.000343598236546326,"382/481/537/1173/2181/3688/4218/4884/5318/5962/7040/7124/7879/9368/9370/10890/25831/25921/51125/51248/56850/64689",22
"BP","GO:0051205","protein insertion into membrane","10/379","77/18870",3.14520766770633e-06,0.000445643389882942,0.000348199033992897,"617/9868/23065/23787/26515/26519/26520/26521/29927/90580",10
"BP","GO:0010743","regulation of macrophage derived foam cell differentiation","7/379","33/18870",3.39649502860856e-06,0.000455560894111491,0.000355947977364207,"19/1401/4481/4790/5465/9370/9619",7
"BP","GO:0033157","regulation of intracellular protein transport","17/379","226/18870",3.43694030602488e-06,0.000455560894111491,0.000355947977364207,"1459/2040/5116/5566/5743/6720/6721/7040/9370/9648/9818/9868/10956/27248/53371/55823/56850",17
"BP","GO:0010888","negative regulation of lipid storage","6/379","22/18870",3.58590639007531e-06,0.000460452792400608,0.000359770213477951,"19/1401/3569/5465/7124/9619",6
"BP","GO:0061951","establishment of protein localization to plasma membrane","9/379","62/18870",3.8352857620646e-06,0.000477551187767377,0.000373129874778215,"537/2181/4218/5962/7879/10890/51125/56850/64689",9
"BP","GO:0051204","protein insertion into mitochondrial membrane","7/379","35/18870",5.16458438847442e-06,0.000624155213301217,0.000487677473215076,"9868/23787/26515/26519/26520/26521/90580",7
"BP","GO:0010745","negative regulation of macrophage derived foam cell differentiation","5/379","14/18870",5.48943526389487e-06,0.000644459699981258,0.000503542182101635,"19/1401/5465/9370/9619",5
"BP","GO:0009100","glycoprotein metabolic process","22/379","370/18870",6.37484366992352e-06,0.000727617573325438,0.000568516760037039,"1839/2801/3479/5046/5861/7841/9653/23071/23333/23509/26574/29880/54480/55757/55768/79053/79070/79586/80267/90161/143888/440138",22
"BP","GO:0062013","positive regulation of small molecule metabolic process","13/379","147/18870",8.665442487586e-06,0.000962332518418672,0.000751908949847434,"1374/2168/3479/5465/5566/5743/6720/6721/7124/9370/9619/22937/51085",13
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","17/379","243/18870",9.0437419540048e-06,0.000977914097079099,0.000764083461487941,"1459/2056/2876/3162/3479/5054/5743/5970/7124/7466/8737/9529/10525/26574/27069/29949/55829",17
"BP","GO:0051028","mRNA transport","12/379","127/18870",9.77957212347215e-06,0.00103036568859864,0.000805065991270987,"4927/4928/5976/8021/8480/9818/9908/10204/23225/23636/26993/53371",12
