"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0061337","cardiac conduction","42/507","97/18870",2.73609486814486e-40,1.23726209937511e-36,9.76929872920777e-37,"183/287/481/775/776/781/783/801/805/808/817/845/857/1482/2697/2702/3741/3752/3753/3757/3759/3762/3781/3784/5318/5350/5566/6262/6324/6327/6331/6336/6508/6910/9992/10021/10060/10142/10345/23630/29119/55800",42
"BP","GO:0003015","heart process","59/507","255/18870",3.08943282689193e-38,6.98520762160266e-35,5.51545060464075e-35,"183/287/481/775/776/781/783/801/805/808/817/845/857/1482/1636/1674/1906/2626/2697/2702/2771/2876/3741/3752/3753/3757/3759/3762/3764/3781/3784/4092/4624/4625/4846/5318/5350/5566/5910/6262/6324/6327/6331/6336/6508/6910/7068/7124/7273/9992/10021/10060/10142/10345/11149/23171/23630/29119/55800",59
"BP","GO:0008016","regulation of heart contraction","54/507","208/18870",7.31158410355305e-38,1.10209944387556e-34,8.70206781728138e-35,"183/287/481/775/776/781/783/801/805/808/817/845/857/1482/1674/1906/2626/2697/2702/3741/3752/3753/3757/3759/3762/3764/3781/3784/4092/4624/4625/4846/5318/5350/5566/6262/6324/6327/6331/6336/6508/6910/7068/7124/9992/10021/10060/10142/10345/11149/23171/23630/29119/55800",54
"BP","GO:0060047","heart contraction","57/507","243/18870",2.6365175392432e-37,2.98058307811444e-34,2.35343881397709e-34,"183/287/481/775/776/781/783/801/805/808/817/845/857/1482/1636/1674/1906/2626/2697/2702/2876/3741/3752/3753/3757/3759/3762/3764/3781/3784/4092/4624/4625/4846/5318/5350/5566/6262/6324/6327/6331/6336/6508/6910/7068/7124/7273/9992/10021/10060/10142/10345/11149/23171/23630/29119/55800",57
"BP","GO:1903522","regulation of blood circulation","58/507","258/18870",7.52072180009913e-37,6.80174079600965e-34,5.3705870201971e-34,"183/287/387/481/551/775/776/781/783/801/805/808/817/845/857/1482/1636/1674/1906/2626/2697/2702/3741/3752/3753/3757/3759/3762/3764/3781/3784/4092/4624/4625/4846/5318/5350/5566/5743/6262/6324/6327/6331/6336/6508/6910/7068/7124/9992/10021/10060/10142/10345/11149/23171/23630/29119/55800",58
"BP","GO:0060048","cardiac muscle contraction","45/507","139/18870",2.1842138831251e-36,1.64616919658195e-33,1.29979885816848e-33,"287/481/775/776/781/783/801/805/808/817/845/857/1482/2626/2697/2702/3741/3752/3753/3757/3759/3762/3764/3781/3784/4092/4624/4625/5318/5350/5566/6262/6324/6327/6331/6336/7273/9992/10021/10060/10142/23171/23630/29119/55800",45
"BP","GO:0002027","regulation of heart rate","39/507","102/18870",6.45696689187683e-35,3.67151815123932e-32,2.89899428967243e-32,"287/775/776/781/783/801/805/808/817/845/857/1906/3741/3752/3753/3757/3759/3762/3764/3784/4624/4625/5318/5350/5566/6262/6324/6327/6331/6336/7124/9992/10021/10142/11149/23171/23630/29119/55800",39
"BP","GO:0086001","cardiac muscle cell action potential","35/507","76/18870",6.49538814903021e-35,3.67151815123932e-32,2.89899428967243e-32,"287/481/775/776/781/783/801/808/817/857/2697/2702/3741/3752/3753/3757/3759/3762/3764/3781/3784/5318/6262/6324/6327/6331/6336/6508/9992/10021/10142/23171/23630/29119/55800",35
"BP","GO:0086065","cell communication involved in cardiac conduction","30/507","58/18870",4.66277330919607e-32,2.34278454490941e-29,1.84983942278282e-29,"287/481/775/776/781/783/801/805/808/817/845/857/2697/2702/3741/3762/3781/3784/5318/5566/6262/6324/6331/6336/6910/10021/10345/23630/29119/55800",30
"BP","GO:0086003","cardiac muscle cell contraction","33/507","76/18870",6.43024566988695e-32,2.90775709192288e-29,2.29593613813227e-29,"287/775/776/781/783/817/857/2626/2697/2702/3741/3752/3753/3757/3759/3762/3764/3781/3784/5318/5350/6262/6324/6327/6331/9992/10021/10060/10142/23171/23630/29119/55800",33
