"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032496","response to lipopolysaccharide","46/569","348/18870",2.78603161837526e-17,1.40638876095583e-13,8.97981980575269e-14,"19/387/948/949/1432/1636/1906/2056/2634/2643/2671/2920/2950/3066/3146/3158/3164/3552/3553/3569/3627/3654/3717/3764/4049/4314/4792/4846/5142/5581/5743/5976/6347/6376/6401/6403/6648/7099/7124/7189/7412/7538/8754/10221/10270/55829",46
"BP","GO:0097006","regulation of plasma lipoprotein particle levels","24/569","91/18870",1.79437627211797e-16,4.52900571082576e-13,2.89177902380275e-13,"19/183/335/336/337/338/345/348/948/949/1071/2181/3162/3949/3988/3990/4023/5046/5320/5566/9370/23491/116519/255738",24
"BP","GO:0002237","response to molecule of bacterial origin","46/569","369/18870",2.76432980269482e-16,4.65144561466782e-13,2.96995714240405e-13,"19/387/948/949/1432/1636/1906/2056/2634/2643/2671/2920/2950/3066/3146/3158/3164/3552/3553/3569/3627/3654/3717/3764/4049/4314/4792/4846/5142/5581/5743/5976/6347/6376/6401/6403/6648/7099/7124/7189/7412/7538/8754/10221/10270/55829",46
"BP","GO:0071827","plasma lipoprotein particle organization","17/569","50/18870",4.35301508571022e-14,5.4935050381663e-11,3.50761373485387e-11,"19/183/335/336/337/338/345/348/949/1071/2181/3990/4023/5046/5320/5566/116519",17
"BP","GO:0071222","cellular response to lipopolysaccharide","33/569","226/18870",5.57612383557472e-14,5.62965462439624e-11,3.59454551253259e-11,"19/387/948/949/1432/2634/2671/2920/2950/3146/3158/3552/3553/3569/3627/3654/3717/4314/4792/4846/5142/5581/5976/6347/6376/7099/7124/7189/7538/8754/10221/10270/55829",33
"BP","GO:0071825","protein-lipid complex organization","17/569","53/18870",1.31313027046176e-13,1.07018942539345e-10,6.83318045824244e-11,"19/183/335/336/337/338/345/348/949/1071/2181/3990/4023/5046/5320/5566/116519",17
"BP","GO:0071216","cellular response to biotic stimulus","35/569","265/18870",2.01984505983292e-13,1.07018942539345e-10,6.83318045824244e-11,"19/387/948/949/1432/2634/2671/2920/2950/3146/3158/3552/3553/3569/3627/3654/3717/4314/4792/4846/5142/5581/5976/6347/6376/7099/7124/7189/7466/7538/8754/9451/10221/10270/55829",35
"BP","GO:0042060","wound healing","45/569","423/18870",2.02577961928459e-13,1.07018942539345e-10,6.83318045824244e-11,"60/325/348/387/389/948/949/959/1398/1432/1861/1906/2150/2152/2246/2247/2677/2768/2876/3162/3479/3552/3569/3572/3688/3717/3791/4846/5327/5581/6376/6403/7099/7124/7422/8546/8613/8761/10019/10544/27243/60681/84830/196527/375056",45
"BP","GO:0034368","protein-lipid complex remodeling","14/569","33/18870",2.12002659547038e-13,1.07018942539345e-10,6.83318045824244e-11,"183/335/336/337/338/345/348/949/1071/3990/4023/5046/5320/116519",14
"BP","GO:0034369","plasma lipoprotein particle remodeling","14/569","33/18870",2.12002659547038e-13,1.07018942539345e-10,6.83318045824244e-11,"183/335/336/337/338/345/348/949/1071/3990/4023/5046/5320/116519",14
"BP","GO:0071219","cellular response to molecule of bacterial origin","33/569","239/18870",2.81839970822963e-13,1.2933892479221e-10,8.25831570009485e-11,"19/387/948/949/1432/2634/2671/2920/2950/3146/3158/3552/3553/3569/3627/3654/3717/4314/4792/4846/5142/5581/5976/6347/6376/7099/7124/7189/7538/8754/10221/10270/55829",33
